Asta - problemlösning,2021-04-19 11:00:00+02:00,2021-04-19 12:00:00+02:00,None,None
Asta - berikning,2021-03-09 11:00:00+01:00,2021-03-09 12:00:00+01:00,None,None
Asta - berikning,2021-03-09 12:00:00+01:00,2021-03-09 13:00:00+01:00,None,None
Asta - dogparkour,2021-03-11 11:00:00+01:00,2021-03-11 12:00:00+01:00,None,None
Asta - dogparkour,2021-03-11 12:00:00+01:00,2021-03-11 13:00:00+01:00,None,None
Asta - klöjvning/jogging,2021-04-23 11:00:00+02:00,2021-04-23 12:00:00+02:00,None,None
Asta - nytt trix,2021-04-12 11:00:00+02:00,2021-04-12 12:00:00+02:00,None,None
Asta - nytt trix,2021-05-10 12:00:00+02:00,2021-05-10 13:00:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-04-14 11:00:00+02:00,2021-04-14 12:00:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-04-14 10:00:00+02:00,2021-04-14 11:00:00+02:00,None,None
Asta - dogparkour,2021-03-25 10:30:00+01:00,2021-03-25 11:30:00+01:00,None,None
Asta - nytt trix (rally?),2021-04-21 11:00:00+02:00,2021-04-21 12:00:00+02:00,None,None
Asta - nytt trix (rally?),2021-05-19 11:30:00+02:00,2021-05-19 12:30:00+02:00,None,None
Asta - nosarbete,2021-04-13 14:30:00+02:00,2021-04-13 15:30:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-04-15 14:30:00+02:00,2021-04-15 15:30:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-04-16 14:30:00+02:00,2021-04-16 15:30:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-04-16 11:00:00+02:00,2021-04-16 12:00:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-04-15 11:00:00+02:00,2021-04-15 12:00:00+02:00,None,None
Asta - problemlösning,2021-01-16 09:00:00+01:00,2021-01-16 11:00:00+01:00,None,None
Asta - problemlösning,2021-01-16 07:00:00+01:00,2021-01-16 09:00:00+01:00,None,None
Asta - problemlösning,2021-01-30 14:00:00+01:00,2021-01-30 16:30:00+01:00,None,None
Asta - problemlösning,2021-02-13 12:00:00+01:00,2021-02-13 14:00:00+01:00,None,None
Asta - problemlösning,2021-03-13 07:00:00+01:00,2021-03-13 09:00:00+01:00,None,None
Asta - problemlösning,2021-04-24 08:00:00+02:00,2021-04-24 10:00:00+02:00,None,None
"Asta - långpromenad, berikning",2021-01-17 09:00:00+01:00,2021-01-17 11:00:00+01:00,None,None
"Asta - långpromenad, berikning",2021-01-31 07:45:00+01:00,2021-01-31 09:30:00+01:00,None,None
"Asta - långpromenad, berikning",2021-04-25 07:00:00+02:00,2021-04-25 09:00:00+02:00,None,None
Asta - problemlösning,2021-05-17 11:30:00+02:00,2021-05-17 12:30:00+02:00,None,None
Asta - berikning,2021-05-18 11:30:00+02:00,2021-05-18 12:30:00+02:00,None,None
Asta - dogparkour,2021-05-20 11:30:00+02:00,2021-05-20 12:30:00+02:00,None,None
Asta - klöjvning/jogging,2021-05-21 11:30:00+02:00,2021-05-21 12:30:00+02:00,None,None
Asta - problemlösning,2021-05-31 11:00:00+02:00,2021-05-31 12:00:00+02:00,None,None
Asta - problemlösning,2021-05-31 12:00:00+02:00,2021-05-31 13:00:00+02:00,None,None
Asta - berikning,2021-06-01 11:00:00+02:00,2021-06-01 12:00:00+02:00,None,None
Asta - nytt trix (rally?),2021-06-02 11:00:00+02:00,2021-06-02 12:00:00+02:00,None,None
Asta - dogparkour,2021-06-03 11:00:00+02:00,2021-06-03 12:00:00+02:00,None,None
Asta - klöjvning/jogging,2021-06-04 11:00:00+02:00,2021-06-04 12:00:00+02:00,None,None
Asta - nytt trix,2021-05-24 11:00:00+02:00,2021-05-24 12:00:00+02:00,None,None
Asta - nosarbete,2021-05-25 11:00:00+02:00,2021-05-25 12:00:00+02:00,None,None
Asta - nosarbete,2021-06-08 11:45:00+02:00,2021-06-08 12:45:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-05-27 11:00:00+02:00,2021-05-27 12:00:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-05-28 11:00:00+02:00,2021-05-28 12:00:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-05-26 11:00:00+02:00,2021-05-26 12:00:00+02:00,None,None
Asta - nytt trix,2021-07-05 11:30:00+02:00,2021-07-05 12:00:00+02:00,None,None
Asta - nosarbete,2021-07-06 11:30:00+02:00,2021-07-06 12:00:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-07-07 11:30:00+02:00,2021-07-07 12:00:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-07-08 11:30:00+02:00,2021-07-08 12:00:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-07-09 11:30:00+02:00,2021-07-09 12:00:00+02:00,None,None
Asta - problemlösning,2021-07-12 11:30:00+02:00,2021-07-12 12:00:00+02:00,None,None
Asta,2021-07-05 14:30:00+02:00,2021-07-05 15:30:00+02:00,None,None
Asta,2021-07-12 15:00:00+02:00,2021-07-12 16:00:00+02:00,None,None
Asta,2021-07-13 11:00:00+02:00,2021-07-13 12:00:00+02:00,None,None
Asta,2021-07-14 11:00:00+02:00,2021-07-14 12:00:00+02:00,None,None
