date,time,section,calorie_acc,calorie,protien,distance,type,note,user,user_id
2024-11-05,09:00,REST,-385.5,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,10:00,FOOD,114.5,500.0,20.0,0,0,Porridge,ECJ_001,001
2024-11-05,10:00,REST,62.25,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,10:53,WALK,-365.75,-428.0,0.0,"7,38",0,18,ECJ_001,001
2024-11-05,11:00,REST,-418.0,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,12:00,REST,-470.25,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,12:30,FOOD,-320.25,150.0,2.0,0,0,"Sandwish, butter, peanut butter",ECJ_001,001
2024-11-05,13:00,REST,-372.5,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,14:00,REST,-424.75,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,14:00,FOOD,-309.75,115.0,0.0,0,0,Carbs,ECJ_001,001
2024-11-05,14:58,RUN,-814.75,-505.0,0.0,0,10km5'07'',1,ECJ_001,001
2024-11-05,15:00,REST,-867.0,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,16:00,REST,-919.25,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,16:30,FOOD,-419.25,500.0,20.0,0,0,"Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella",ECJ_001,001
2024-11-05,17:00,REST,-471.5,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,17:00,FOOD,-71.5,400.0,10.0,0,0,Protein bars,ECJ_001,001
2024-11-05,18:00,REST,-123.75,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,19:00,REST,-176.0,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,20:00,REST,-228.25,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,21:00,REST,-280.5,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,22:00,REST,-332.75,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-05,23:00,REST,-385.0,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,00:00,REST,-52.25,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,01:00,REST,-104.5,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,02:00,REST,-156.75,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,03:00,REST,-209.0,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,04:00,REST,-261.25,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,04:22,WALK,-739.25,-478.0,0.0,"8,79",0,15,ECJ_001,001
2024-11-06,05:00,REST,-791.5,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,06:00,REST,-843.75,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,06:30,FOOD,-343.75,500.0,20.0,0,0,Porridge,ECJ_001,001
2024-11-06,07:00,REST,-396.0,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,08:00,REST,-448.25,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,09:00,REST,-500.5,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,10:00,FOOD,-0.5,500.0,20.0,0,0,Porridge,ECJ_001,001
2024-11-06,10:00,REST,-52.75,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,10:47,WALK,-490.75,-438.0,0.0,"7,58",0,19,ECJ_001,001
2024-11-06,11:00,REST,-543.0,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,12:00,REST,-595.25,-52.25,0.0,0,0,0,ECJ_001,001
2024-11-06,13:00,REST,-647.5,-52.25,0.0,0,0,0,ECJ_001,001
